,0,1,2,3,4
912,"Bestormbrug","pont d'assaut",", tusschen de bestormstraat en de violettenlei.",,
913,"Chartreuzenbrug","pont des chartreux",", tusschen de roodelijvekensstraat en de chartreuzenstraat.",,
914,"Citadelbrug",,"ziet leibrug.",,
915,"Dampoortbrug",,"ziet antwerpschepoortbrug.",,
916,"Depauwbrug","pont De Pauw",", ziet kasteelbrug.",,
917,"De Smetbrug","pont De Smet",", van begijnhofboulevard tot De Smetstraat, nieuwen rabotwijk.",,
918,"Driegatenbrug","pont des trois vannes",", tusschen de coupure en de leikaai.",,
919,"Entrepotbrug","pont de l'entrepôt",", tusschen de lindenlei en de coupure, linker oever.",,
920,"Grasbrug","pont aux herbes",", tusschen de gras- en koornlei.",,
921,"Grendelgatbrug","pont du verrou",", op den bleekersdijk.",,
922,"Halsbrekerssbrug","pont du casse-cou",", tusschen de s. salvatorstraat en het groot meerhem.",,
923,"Hoofdbrug, ziet onthoofdbrug. kasteelbrug of Depauwbrug","pont du chateau ou Depauw",", tusschen de kasteelkaai en s. machariusstraat.",,
924,"Hetelpoortbrug","pont des chaudronniers ou des bastions",", tusschen de koophandelplaats en den nederkouter. koepoortbrug  pont de la porte aux vaches , op de koepoortkaai. kriekerijbrug  pont de la cerisaie  in het kriekerijstraatje. krommewalbrug  pont du fossé-courbe , van krommewal tot sluizeekensstraat Leibrug  pont de la Lys , van godshuizenboul tot citadellaan.",,
925,"Lievebrug","pont de la liève",", tusschen de lievestraat en de lievekaai.",,
926,"Lousbergsbrug","pont Lousbergs","tusschen de visscherij en kasteellaan.",,
927,"Marcellisbrug of ijzerenbrug","pont Marcellis ou en fer","tusschen de lammerstraat en de Lieven Bauwensplaats.",,
928,"Meerschbrug","pont du pré",", op den geuzenberg.",,
929,"Meulestedebrug","pont de Meulestede",", tusschen Meulestede en Wondelgem.",,
930,"Minnemeerschbrug","pont du pré-d'amour",", tusschen de minnemeerschplaats en de huidevetterskaai.",,
931,"Muidebrug",,"ziet sasschepoortbrug.",,
932,"Muink- of monnikbrug","pont des moines",", tusschen de muinkkbrugstraat en de benardstraat.",,
933,"Nieuwbrug","pont neuf",", tusschen de s. jacobsnieuwstraat en de keizerkarelstraat.",,
934,"Nieuwenboschbrug","pont du nouveau bois","in de tweebruggenstraat.",,
935,"Nieuwe sluisbrug","pont de la nouv. écluse",", op de sasschekaai.",,
936,"Nieuwe vaartbrug","pont du canal de raccordement",", aan de palingshuizen; over de verbindingsvaart.",,
937,"Nieuwe wandelingbrug","pont de la nouvelle promenade",", tusschen de contributiestraat en de nieuwe wandeling.",,
938,"Onthoofdbrug","pont de l'exécution",", tusschen de hoogezonnestraat en de burgstraat.",,
939,"Oordeelbrug","pont du jugement",", tusschen de recollettenlei en de lindenlei.",,
940,"Ottergembrug","pont d'Ottergem",", nieuwe brug op de Schelde aan den ijzeren weg, bij s. lievenspoort.",,
941,"Oude brugschepoortbrug","pont de l’ancienne porte de Bruges",", tusschen de driegatenbrug aan de phoenixstraat en leikaai.",,
942,"Oude scheldebrug of s. lievensvestbrug","pont du rempart s. Liévin","tusschen s. lievenstraat en Ledeberg.",,
943,"Palingshuizenbrug","pont des maisons aux anguilles",", van palingshuizen tot de groendreef.",,
944,"Pasbrug","pont du pas",", tusschen de roodetorenstraat en de visscherij.",,
945,"Plattesteegerbrug","pont de l'escalier",", tusschen de s. salvatorstraat en het groot meerhem.",,
946,"Predikheerenbrug","pont des dominicains",", tusschen de hoornstraat en de predikheerenstraat.",,
947,"Rabotbrug","pont du rabot",", tusschen den begijnhofboulev. en den boulevard van plaisance.",,
948,"Rakenbrug","pont du râteau",", tusschen het kortschipgracht en de chartreuzenstraat.",,
949,"Rasphuisbrug","pont de la maison de force",", tusschen den rechter en linkeroever der coupure, aan de rasphuisstraat.",,
950,"Recollettenbrug","pont des récollets",", tusschen de koophandelplaats en Vandeveldestraat.",,
951,"Roodetorenbrug","pont de la tour rouge",", tusschen de visscherij en de roodetorenkaai.",,
952,"Rozemarijnbrug","pont du romarin",", tusschen den rechter¬ en linkeroever der coupure, aan de twaalfkamerstraat.",,
953,"Sasschepoortbrug","pont de la porte du sas",", tusschen de voormuide en den meulesteedschen steenweg. S. Gillisbrug  pont s. Gilles , tusschen de s. gillisstraat en de chartreuzenstraat. S. Jorisbrug  pont s. Georges , tusschen het steendam en de roodentorenkaai. S. Michielsbrug  pont s. Michel , tusschen de sterrestraat en de koornlei, aan s. Michielskerk.",,
954,"Slachthuisbrug","pont de l’abattoir","tusschen de visscherij en de slachthuislaan.",,
955,"Sleutelkensbrug","pont des petites clefs",", tusschen de lange steenstraat en de korte steenstraat.",,
956,"Sluizekensbrug","pont des écluses",", tusschen de oudburg en het sluizeken.",,
957,"Terplatenbrug","pont de Terplaten",", tusschen s. lievensboulevard en boulevard der citadel.",,
958,"Tichelrijbrug","pont des tuileries",", op de tichelrij.",,
959,"Tolhuisbrug","pont du péage",", tusschen de plezantevest en de nijverheidsplaats.",,
960,"Torenbrug","pont de la tour ou de Thourout",", tusschen den poel en de hoogstraat.",,
961,"Van Eyckbrug","pont Van Eyck","tusschen de visscherij en de van Eyckplaats.",,
962,"Verlorenbroodbrug","pont du pain perdu",", tusschen de verlorenbroodstraat en de coupure, linker oever.",,
963,"Visscherijkombrug","pont du bassin de la pêcherie","tusschen de visscherij en boulevard Lousbergs aan het keizers-sas.",,
964,"Vleeschhuisbrug","pont de la boucherie",", tusschen de groenselmarkt en de kleine vischmarkt.",,
965,"Vijfwindgatbrug","pont des cinq vannes",", tusschen de lange violettenstraat en de brusselsche¬ en s. lievenstraat.",,
966,"Walpoortbrug","pont madou",", tusschen de korteedagsteeg en de walpoortbrugstraat.",,
967,"Willembrug","pont Guillaume",", tusschen de visscherij en de keizerstraat.",,
968,"Wondelgembrug","pont de Wondelgem",", brug op de nieuwe vaart tusschen de gasmeterlaan en de nijverheidslaan.",,
969,"Wijngaardbrug","pont de la vigne",", tusschen het bisdomplein en den reep.",,
970,"Zaatbrug","pont du chantier",", tusschen het groot meerhem en het klein meerhem.",,
971,"Zottepoortbrug","pont aux folles",", tusschen de korte violettenstraat en de annonciadenstraat.",,
972,"Zuivelbrug","pont du laitage",", tusschen de zuivelsteeg en de zuivelbrugstraat.",,
